location,location_abbreviation,date,start_issue_date,end_issue_date
01,AL,2020-11-28,2020-11-29,2021-12-05
01,AL,2020-12-05,2020-12-06,2021-12-05
01,AL,2021-01-02,2021-01-03,2021-12-05
04,AZ,2020-12-26,2020-12-27,2021-12-05
05,AR,2020-09-19,2020-09-20,2021-12-05
05,AR,2020-12-26,2021-01-03,2021-12-05
05,AR,2021-03-06,2021-03-07,2021-12-05
05,AR,2021-03-13,2021-03-14,2021-12-05
05,AR,2021-10-16,2021-10-17,2021-12-05
06,CA,2020-11-28,2020-11-29,2021-12-05
06,CA,2020-12-26,2021-01-03,2021-12-05
06,CA,2021-08-14,2021-08-15,2021-12-05
06,CA,2021-11-27,2021-11-28,2021-12-05
08,CO,2020-11-28,2020-11-29,2021-12-05
08,CO,2020-12-26,2021-01-03,2021-12-05
09,CT,2020-12-26,2021-01-03,2021-12-05
09,CT,2021-01-02,2021-01-03,2021-12-05
09,CT,2021-10-02,2021-10-03,2021-12-05
09,CT,2021-11-27,2021-11-28,2021-12-05
10,DE,2020-06-27,2020-06-28,2021-02-07
10,DE,2020-07-25,2020-07-26,2021-02-07
10,DE,2020-08-01,2021-02-14,2021-02-14
10,DE,2021-07-31,2021-08-01,2021-12-05
10,DE,2021-11-27,2021-11-28,2021-12-05
12,FL,2020-12-26,2021-01-03,2021-12-05
12,FL,2021-11-27,2021-11-28,2021-12-05
12,FL,2021-12-04,2021-12-05,2021-12-05
13,GA,2020-11-07,2020-11-15,2021-12-05
13,GA,2021-01-02,2021-01-10,2021-12-05
13,GA,2021-11-27,2021-11-28,2021-12-05
13,GA,2021-12-04,2021-12-05,2021-12-05
15,HI,2021-01-30,2021-01-31,2021-12-05
15,HI,2021-11-27,2021-11-28,2021-12-05
16,ID,2020-11-28,2020-11-29,2021-12-05
16,ID,2020-12-26,2021-01-03,2021-12-05
16,ID,2021-11-27,2021-11-28,2021-12-05
16,ID,2021-12-04,2021-12-05,2021-12-05
17,IL,2020-07-11,2020-07-12,2021-12-05
17,IL,2020-12-26,2021-01-03,2021-12-05
17,IL,2021-11-27,2021-11-28,2021-12-05
17,IL,2021-12-04,2021-12-05,2021-12-05
18,IN,2020-12-26,2021-01-03,2021-12-05
18,IN,2021-02-06,2021-02-07,2021-02-07
18,IN,2021-11-27,2021-11-28,2021-12-05
18,IN,2021-12-04,2021-12-05,2021-12-05
19,IA,2020-11-28,2020-11-29,2021-12-05
19,IA,2021-02-06,2021-02-07,2021-12-05
20,KS,2020-12-26,2021-01-03,2021-12-05
20,KS,2021-01-23,2021-01-24,2021-12-05
20,KS,2021-10-09,2021-10-10,2021-10-10
21,KY,2021-03-20,2021-03-21,2021-12-05
21,KY,2021-03-27,2021-03-28,2021-12-05
21,KY,2021-06-05,2021-06-06,2021-12-05
21,KY,2021-11-27,2021-11-28,2021-12-05
22,LA,2021-01-02,2021-01-10,2021-12-05
22,LA,2021-11-27,2021-11-28,2021-12-05
23,ME,2020-12-26,2021-01-03,2021-12-05
24,MD,2020-12-26,2021-01-03,2021-12-05
24,MD,2021-05-29,2021-05-30,2021-12-05
25,MA,2020-12-26,2020-12-27,2021-12-05
26,MI,2020-12-26,2020-12-27,2021-12-05
26,MI,2021-01-02,2021-01-03,2021-12-05
26,MI,2021-01-09,2021-01-10,2021-12-05
26,MI,2021-11-27,2021-11-28,2021-12-05
26,MI,2021-12-04,2021-12-05,2021-12-05
27,MN,2020-08-22,2020-08-23,2021-12-05
27,MN,2020-11-28,2020-11-29,2021-12-05
27,MN,2021-01-02,2021-01-03,2021-12-05
27,MN,2021-03-13,2021-03-14,2021-12-05
28,MS,2020-12-26,2020-12-27,2021-12-05
28,MS,2021-02-20,2021-02-21,2021-12-05
29,MO,2021-11-27,2021-11-28,2021-12-05
29,MO,2021-12-04,2021-12-05,2021-12-05
30,MT,2021-04-10,2021-04-11,2021-12-05
31,NE,2021-04-17,2021-04-18,2021-12-05
31,NE,2021-05-22,2021-05-23,2021-12-05
31,NE,2021-07-31,2021-08-01,2021-12-05
31,NE,2021-08-14,2021-08-15,2021-12-05
31,NE,2021-10-02,2021-11-07,2021-12-05
31,NE,2021-10-30,2021-10-31,2021-10-31
32,NV,2020-12-26,2020-12-27,2021-12-05
32,NV,2021-01-02,2021-01-03,2021-12-05
32,NV,2021-01-09,2021-01-10,2021-12-05
32,NV,2021-11-27,2021-11-28,2021-12-05
33,NH,2020-12-26,2021-01-03,2021-12-05
33,NH,2021-10-30,2021-10-31,2021-12-05
33,NH,2021-11-06,2021-11-07,2021-12-05
33,NH,2021-11-27,2021-11-28,2021-12-05
34,NJ,2020-06-27,2020-06-28,2020-07-26
34,NJ,2020-08-29,2020-08-30,2021-12-05
34,NJ,2020-12-26,2021-01-03,2021-12-05
35,NM,2020-12-26,2020-12-27,2021-12-05
35,NM,2021-05-29,2021-05-30,2021-12-05
35,NM,2021-11-27,2021-11-28,2021-12-05
35,NM,2021-12-04,2021-12-05,2021-12-05
37,NC,2020-12-26,2020-12-27,2021-12-05
37,NC,2021-01-02,2021-01-03,2021-12-05
37,NC,2021-11-27,2021-11-28,2021-12-05
37,NC,2021-12-04,2021-12-05,2021-12-05
38,ND,2020-12-26,2021-01-03,2021-12-05
39,OH,2020-09-05,2020-09-06,2020-11-29
39,OH,2020-12-26,2021-01-03,2021-02-14
39,OH,2021-02-13,2021-02-14,2021-02-14
39,OH,2021-02-27,2021-02-28,2021-02-28
39,OH,2021-03-20,2021-03-21,2021-04-17
39,OH,2021-03-27,2021-03-28,2021-04-25
39,OH,2021-04-03,2021-04-04,2021-05-02
39,OH,2021-04-10,2021-04-11,2021-05-09
39,OH,2021-04-17,2021-04-18,2021-05-16
39,OH,2021-04-24,2021-04-25,2021-05-23
39,OH,2021-05-01,2021-05-02,2021-05-30
39,OH,2021-05-08,2021-05-09,2021-06-06
39,OH,2021-05-15,2021-05-16,2021-06-13
39,OH,2021-05-22,2021-05-23,2021-06-20
39,OH,2021-05-29,2021-05-30,2021-06-27
39,OH,2021-06-05,2021-06-06,2021-07-04
39,OH,2021-06-12,2021-06-13,2021-07-11
39,OH,2021-06-19,2021-06-20,2021-07-18
39,OH,2021-06-26,2021-06-27,2021-07-25
39,OH,2021-07-03,2021-07-04,2021-08-01
39,OH,2021-07-10,2021-07-11,2021-08-08
39,OH,2021-07-17,2021-07-18,2021-08-15
39,OH,2021-07-24,2021-07-25,2021-08-22
39,OH,2021-07-31,2021-08-01,2021-08-29
39,OH,2021-08-07,2021-08-08,2021-09-05
39,OH,2021-08-14,2021-08-15,2021-09-12
39,OH,2021-08-21,2021-08-22,2021-09-19
39,OH,2021-08-28,2021-08-29,2021-09-26
39,OH,2021-09-04,2021-09-05,2021-10-03
39,OH,2021-09-11,2021-09-12,2021-10-10
39,OH,2021-09-18,2021-09-19,2021-10-17
39,OH,2021-09-25,2021-09-26,2021-10-24
39,OH,2021-10-02,2021-10-03,2021-10-31
39,OH,2021-10-09,2021-10-10,2021-11-07
39,OH,2021-10-16,2021-10-17,2021-11-14
39,OH,2021-10-23,2021-10-24,2021-11-21
39,OH,2021-10-30,2021-10-31,2021-11-28
39,OH,2021-11-06,2021-11-07,2021-12-05
39,OH,2021-11-13,2021-11-14,2021-12-05
39,OH,2021-11-20,2021-11-21,2021-12-05
39,OH,2021-11-27,2021-12-05,2021-12-05
39,OH,2021-12-04,2021-12-05,2021-12-05
40,OK,2021-04-10,2021-04-11,2021-12-05
40,OK,2021-05-29,2021-05-30,2021-12-05
40,OK,2021-10-23,2021-10-24,2021-12-05
40,OK,2021-11-13,2021-11-14,2021-12-05
41,OR,2020-12-26,2021-01-10,2021-12-05
41,OR,2021-01-02,2021-01-10,2021-12-05
42,PA,2020-11-28,2020-11-29,2021-12-05
42,PA,2020-12-26,2021-01-03,2021-12-05
42,PA,2021-11-27,2021-11-28,2021-12-05
42,PA,2021-12-04,2021-12-05,2021-12-05
44,RI,2020-12-26,2021-01-10,2021-12-05
44,RI,2021-01-02,2021-01-10,2021-12-05
44,RI,2021-01-09,2021-01-17,2021-12-05
45,SC,2020-11-28,2020-11-29,2021-12-05
46,SD,2020-12-26,2020-12-27,2021-12-05
46,SD,2021-01-02,2021-01-03,2021-12-05
47,TN,2020-12-26,2021-01-03,2021-12-05
47,TN,2021-01-02,2021-01-10,2021-12-05
47,TN,2021-07-17,2021-07-18,2021-12-05
47,TN,2021-07-24,2021-07-25,2021-12-05
47,TN,2021-11-27,2021-11-28,2021-12-05
47,TN,2021-12-04,2021-12-05,2021-12-05
48,TX,2020-11-28,2020-11-29,2021-12-05
48,TX,2020-12-26,2020-01-03,2021-12-05
48,TX,2021-01-02,2021-01-10,2021-12-05
48,TX,2021-02-20,2021-02-21,2021-12-05
